ID CUITAN;KALIMAT CUITAN
1;Baru saja kenalan sama orang baru di kafe, dan seru banget! Intinya, ngobrolin hal-hal random itu selalu seru.
2;Gak bisa diem di rumah nih, pengen banget jalan-jalan sore ini! Ada saran tempat keren ga, guys?
3;Ngecash energi dengan ketemu orang kantor nih, seru bangeeett!!!
4;Hari ini sibuk banget, tapi seneng karena bisa ketemu banyak orang dan bertukar ide. Teamwork makes the dream work, right?
5;Pesta di rumah tetangga bikin hari jadi gaul banget! Semua ikutan shopping dan ceria abis
6;Ulangtahun adik hari ini, seru banget pesta di rumah dengan teman-teman. Makan, tertawa, dan peluk-pelukan!
7;Hari ini gue berasa gaul abis dah, hang out di cafe keren, belanja hobi favorit, dan cerita curhat sama teman-teman, bikin hidup seru bangeettt!
8;Hari ini gue kenalan sama teman baru di perayaan alumni, cerita tentang hobi favorit, dan peluk akrab. Keren! 
9;Pagi-pagi udah optimis banget, hari ini gue tertawa sepanjang hari! Cerita lucu di kantor bikin hidup makin cerah.
10;Gue lagi planning perjalanan baru nih, kayaknya bakal seru abis! Belanja perlengkapan travelling dulu ah.
11;Gue lagi di café, nikmatin kopi favorit sambil cerita sama temen-temen. Ngebahas temen gue yang lagi punya doi baru sama yang terlibat hts. Seru bangeet akhirnya bisa ngumpul lagi!!!
12;Hari ini gue shopping sepuasnya, dapet diskon gede! Seneng banget bisa beli barang-barang kece tanpa khawatir
13;Gue cerita curhat sama temen-temen di cafe, ternyata mereka juga pernah mengalami hal yang sama. Rasa lega bercerita! 
14;Gue lagi piknik ke taman, makan bekal enak bareng keluarga. Hidup ini indah banget, ya!
15;Hari ini gue merayakan ulangtahun adik dengan pesta kecil-kecilan di rumah. Makan enak, tertawa bersama, dan peluk-pelukan hangat!
16;Gue dan pacar halal gue lagi merayakan ulangtahun pernikahan. Senang banget bisa melewati berbagai momen manis bersama!
17;Hari ini gue seneng banget karena bisa ketemu gebetan. Kita jalan-jalan bareng, ngobrol seru, dan saling tertawa
18;Gue lagi ngobrol panjang sama pacar, cerita curhat, dan berbagi rencana masa depan. Setiap detik bersama emang berharga banget! 
19;Gue dan pacar lagi planning liburan bersama. Rencananya sih mau travelling bareng, seru banget! 
20;Pacar gue cerita curhat tentang hari-harinya, dan gue seneng bisa jadi pendengar setia. Hubungan yang saling percaya itu penting banget, ya!
21;Gue dan pacar lagi shopping bareng, cari-cari barang kece. Seru banget bisa berdua ngejajal fashion baru! 
22;Pacar gue punya sense of humor yang keren banget. Hari ini ketawa terus gara-gara guyonan dia, hidup jadi lebih ceria! 
23;Pacar gue rajin curhat tentang hari-harinya, dan gue suka banget dengerin ceritanya. Cinta itu juga tentang saling mengerti, kan?
24;Gue dan pacar lagi planning rencana masa depan. Mimpi-mimpi besar yang bakal kita raih bersama!
25;Gue suka banget jalan-jalan rame-rame sama pacar dan temen-temen. Semua jadi lebih seru!
26;Pacar gue suka banget bikin surprise romantis. Hari ini, dia ngasih bunga dan kartu cinta, bikin melting paraah dah!
27;Pacar gue rajin banget kasih motivasi positif. Setiap kali gue down, dia selalu ada buat ngingetin bahwa gue bisa!
28;Gue dan pacar sering banget nonton konser bareng. Musik adalah satu dari banyak hal yang membuat hubungan kita semakin erat. 
29;Hari ini gue dan pacar belanja bersama, cari barang yang kita suka. Seru banget lihat selera belanja kita saling melengkapi!
30;Hari ini gue dan pacar pergi piknik ke pantai. Pelukan di bawah matahari terbenam, tak ada yang lebih romantis! 
31;Pacar gue suka banget sama hobi gue yang agak unik. Hari ini kita sama-sama belajar dan mencoba hal baru.
32;Gue lagi belanja sepuasnya dan nemu diskon besar-besaran! Senang banget bisa mendapatkan barang-barang keren tanpa nguras dompet. 
33;Seru banget ketemu temen-temen di acara reunian. Cerita masa-masa kuliah, kenangan seru, dan pelukan hangat. 
34;Ulangtahun ayah hari ini, pesta kecil-kecilan di rumah dan beli hadiah keren buat beliau. Semua rame banget! 
35;Hari ini saya senang banget karena berhasil menyelesaikan proyek hobi favorit. Karya sendiri selalu bikin bangga!
36;Cerita lucu adek di rumah selalu bisa bikin suasana ceria. Hari ini jadi ketawa terus sampe hampir nangis!
37;Gue dan teman-teman lagi ngerencanain pesta besar untuk merayakan kesuksesan kami. Seru banget, rasanya ingin cepat-cepat sampai hari pesta! 
38;Liburan impromptu bareng teman-teman, traveling ke tempat baru yang nggak pernah dikunjungi sebelumnya. Seru banget!
39;Gue hari ini kenalan sama tetangga baru yang seru banget. Rencana piknik bersama sudah on the way!
40;Gue dan teman-teman merencanakan traveling ke bali, gak sabar deh nikmatin vibes sunset bali!
41;Hari ini gue ultah, awalnya piknik di tahura bandung sampe sore, eh malemnya di surprise-in pake kue dan banner di depan rumah. Meskipun capek tapi seru banget dan jadi kenangan yang ga dilupain deh…
42;Pusing tugas kuliah, akhirnya ke cartil deh malem-malem sama temen-temen...
43;Gak ada angin gak ada hujan tiba-tiba planning ke ciwidey besok, ga sabar deh!!!
44;Hari ini seneng banget deh bisa becanda sama mas doi, meskipun berkedok berantem trus kejar-kejaran, tapi seru banget :)
45;Mas doi hari ini perhatian banget deh, tahu ulang tahun gue langsung dicatet dong di buku agendanya, seneng banget diperhatiin….
46;Hari ini sangat bikin membingungkan deh, lagi dimobil tadi ditembak sama gebetan lama, terus gebetan baru ngechat juga pula, bingung deh harus ngapain….
47;Oh My God, mimpi apa gue semalem bisa di gonceng mas doi di motor, tapi ada sadnya sih, dia curhat tentang orang yang dia suka tapinya…
48;Ih seneng banget deh bisa main drama teater bareng sama mas doi, mana mas doi perhatian banget lagi, ah jadi makin sukaaaa….
49;Seneng banget deh pas ulang tahun kemarin mas gebetan mau ngelakuin apa aja buat gue, ya meskipun hanya dianggap temen doang ya…
50;Mas doi dari kemarin sakit, sekarang masuk sekolah tapi lemes, kasihan deh, kangen berantem sama mas doi deh, cepet sembuh mas doi tersayang…..
51;OMG Marketday hari ini lancar banget, banyak banget yang beli jualan gue, makasih guys yang udah mampir beliiiii….
52;Hari ini camping sama temen-temen sekolah seru banget, meskipun banyak yang menjijikan dan sangat menguji adrenalin, tapi kerja sama kita berhasil guys….
53;Ih panas banget ga sih hari ini, padahal kemarin hujan lebat, tapi sekarang panasnya bikin mendidih, gws dah cuaca, stay safe guys.
54;Ih kalian ada yang udah nonton film Wonka belum? Kalau udah boleh spill dong gimana feelnya, pengen nonton tapi masih ragu deh takut gak suka…
55;Hari ini doi main futsal di liga pulang sekolah, berkedok yang nonton dikasih eskrim, akhirnya bolos les lah gw setengah jam demi nonton doi, meskipun udah sampe tempat les, lari pun ku jabanin mas demi menonton kamu mas!!!
56;Tetap semangat ges, SBMPTN semakin dekat, jangan lupa selalu berusaha dan berdoa :)
57;Terkejoed akuu dengan harga sushi di genki, mahal bet!!!
58;Pacar gue tiba-tiba datang ke rumah bawa cokelat kesukaan gue. Unexpected surprise yang bikin hati meleleh! 
59;Dufan siang ini bareng teman-teman adalah obat stres terbaik! Teriakan senang dan tawa keras, semuanya bikin hari jadi cerah. 
60;Menikmati sunset di negara asing bersama pacar adalah momen yang tak terlupakan. Keindahan alam dan kebersamaan membuat hati hangat.
61;Hari ini saya hang out di Times Square, tempat yang selalu penuh kehidupan! Bersama teman-teman, kami menikmati gemerlapnya kota New York dan berbagi cerita seru.
62;Liburan ke Santorini bersama keluarga adalah mimpi yang jadi nyata. Rumah-rumah putih dengan atap biru, sunset indah, dan cerita keluarga yang penuh kebahagiaan. 
63;Saya belanja oleh-oleh khas Kyoto di Gion, Jepang. Tempat yang memikat hati dengan keindahan tradisionalnya. 
64;Hang out di kafe Paris dengan pemandangan Menara Eiffel adalah pengalaman yang tidak terlupakan. Senyum terpancar di setiap foto dan cerita yang mengharukan. 
65;Rangkul erat keluarga di Disneyland Paris, menyaksikan parade yang penuh warna dan menikmati permainan seru. Hari ini sungguh magis!
66;Jalan-jalan di Buckingham Palace bersama teman-teman, merayakan momen heboh dan mengabadikan senyum kebahagiaan di depan istana kerajaan.
67;Rumah gue hari ini rame banget, ada acara nonton bareng film seru sama keluarga. Sambil makan popcorn sambil lesehan di sofa, asik deh! 
68;Piknik ke Dufan hari ini, main roller coaster sampe mabuk kepayang! Seru banget, kayak balik lagi jadi anak kecil.
69;Cerita tentang liburan ke Seoul bersama temen-temen, jalan-jalan di Gangnam, makan samgyeopsal, dan belanja sepuasnya. Keren abis!
70;Habis nonton drama dots bareng teman, OMG song jong ki ganteng bangeeettt….
71;Hang out di cafe sambil ngerjain tugas kuliah. Kopi sebagai mood booster, biar semangat ngerjain tugasnya!
72;Hang out di rumah teman, kita buat marathon nonton drama Korea favorit sambil makan ramyeon. Seru banget, kayak di dalam drama sendiri! 
73;Rumah gue hari ini rame banget, ada saudara yang datang dan akhirnya kita nonton drama Korea bareng-bareng. Seru banget, dan semuanya jadi saling komentar!
74;Pacar gue suka bercanda, bilang kalau nonton drama Korea itu kayak nonton kehidupan cinta kita sendiri. Lucu banget, tapi bener juga sih! 
75;Hang out di Uniqlo dan H&M, nggak nyangka banyak banget pilihan busana stylish dan harga terjangkau. Bawa pulang beberapa tas belanjaan yang bikin hati happy! 
76;Hang out di Gandaria City, explore berbagai toko kece, dan makan enak di food court. Penuh pilihan, dari fashion sampai kuliner!
77;Hang out di Plaza Senayan hari ini, nyari spot cozy di café buat nongkrong. Kenalan sama barista yang ramah, bikin suasana makin asik!
78;Pacar gue ngajakin ke Plaza Indonesia, beli baju baru buat perayaan ulang tahunnya. Hadiah yang tepat bikin dia senang banget!
79;Pacar gue ngajakin ke mall, akhirnya kita jalan-jalan ke Uniqlo buat beli baju couple. Bikin bonding lebih kuat, dan style-nya match! 
80;Cerita seru tentang nge-mall di Jakarta, beli skincare di Guardian dan makeup di Matahari. Habis itu, muka gue berasa kayak seleb Korea!
81;Hang out di mall Jakarta, mencoba baju di Zara dan H&M. Awalnya cuman mau lihat-lihat, eh, ternyata dapet diskon menarik! 
82;For the first time main sepatu rodaa... seru sih tapi sempet ga bisa jalan karenaa susahh yaa broo. Sempet jatuh juga, kaki aku jadi biru wkwkwk
83;Udah lama ga main hujan... ternyataa seruu jugaa, main hujannya naik motor sambil nyayi tuluss :)
84;Ternyata jadi anak bawang di tempat magang ga buruk, tiap hari ditanya mau makan apa sampe disuruh pulang cepet soalnya lumayan jauh rumah ku ke tempat magang
85;Keliling Jakarta tanpa tujuan itu juga termasuk healing lohhh... kita cuman naik tranportasi umum dari ujung ke ujung plus makan di tempat random yang reviewnya bagus di google
86;Temen-temen aku ngajak main ke pulau nihh, tapi kita nabung dulu biar bisa puas jajan plus berpetualang di pulai nantii.... aaa ga sabar, pasti seruuu!!
87;Hari ini ikut training, OMG kakak trainernya ganteng bangeeett, boleh kali kak tukeran sosmed :)
88;Liat pasangan heidy-faris yang sangat ceria dan bahagia di medsos, jadi kepengen nikah deh, hehehehe :)
89;Aku tadi dateng ke cafe di daerah Serpong. Lucu bangett makannya berbentuk hewan hewan gemasss!
90;Lagi banyak trend tiktok nihh, mari kitaa ikut semua trend itu bersama pacar ku tersayaangg wkwkkw
91;Makasih yaa kaliaan selalu merayakan hari ulang tahun aku setiap tahunyaa... aku beruntung punya kalian
92;Seruu yaa ikut acara kumpul sama para pencinta kpok, kita ngobrolin bias kita masing-masing. Jadi nambah temen baruu dehh
93;Ada acara musik gratis di Jakartaa, ngundang Tuluss lagiii.... pasti ramee bangett deh di sanaa
94;Pulang malem pake transportasi umum itu seruu tauu! kalian bisa melihat lamput di gedung gedung tinggi sambil makan roti boy wkwkwkwk
95;Ini ada mas mas bujang di tempat magang, ganteng pulaa diaa... boleh kali mengenal lebih jauh wkwkkwk
96;Kemarin aku ke bioskop sama ibu ku, kami nonton film comedy... Sumpah dari awal film sampe selesai aku ketawaa ngakaakk bangett wkwkwk
97;Kenya di setiap tempat wisata harus ada flying fox dehhh, itu wahanaa seruu bangeet broo... 
98;Haechan gantengg bangett deh kalo model rambutnya up... yang jidatnya keliatan gituuu, wahhh parah sihh gantengnyaa
99;Pokoknyaa semuaa makanan yang ada kejunya ituuu enakk bangettt... lovee kejuu!!
100;Main monopoli bareng temen seruuu cuii, aku paling kayaa di antara merekaa wkwkwk. Ada yang bangkrut plus punya utang lagi wkwkwk.
101;Antusias banget rasanya, karena besok hari pertama gue masuk kerja di kantor baru!
102;Tiap hari Senin gue seneng banget karena ketemu temen temen kantor lagi, gak bisa gue sepi dan libur sendirian di rumah.
103;Seneng banget kumpul kumpul sama temen hari ini, banyak temen yang udah lama gak ketemu.
104;Gue orangnya gak bisa banget kesepian, harus ada aja yang temenin gue, ato ya gue temenin orang, yang penting gue gak sendiri. Gue suka keramaian.
105;Gue jadi lebih semangat kalo ketemu banyak temen, misalnya di sekolah, atau di tempat les.
106;Entah kenapa ya, tiap lagi nongkrong di tempat yang rame sendirian, gue selalu jadi orang pertama yang ngajak ngobrol orang di deket gue.
107;Gue gak pernah tuh ngalamin demam panggung, justru gue seneng banget kalo udah di panggung, jadi pusat perhatian.
108;Gue semangat justru kalau disuruh ikut ikut lomba sama guru dan sekolah gue, soalnya bisa ketemu sama orang orang baru, kenalan kenalan jadi nambah banyak temen baru lagi.
109;Gue orangnya gampang kenal sama orang, gue suka banget soalnya ngobrol sama orang orang yang baru kenalan, dan baru gue kenal di suatu tempat misalnya.
110;Ntah kenapa kayaknya gue kebanyakan ngomong saking semangatnya ketemu orang orang baru, ataupun kalo ketemu temen temen lama misalnya. Semangat deh pokoknya.
111;Kata temen temen, di grup ini gue yang paling banyak omong dan paling cerewet, mungkin karna gue extrovert ya orangnya.
112;Gue malah seneng tiap diajak nyokap gue ke acara keluarga, ato acara temen temennya, gue seneng banget bisa ketemu orang banyak
113;Hari ini gue ikut lomba pidato di sekolah, dan gue seneng ternyata gue lancar ngomongnya, ga gugup sama sekali di depan banyak orang.
114;Gue gak betah sama sekali kalau harus disuruh diem dirumah terus, gud senengnya kalo ketemu banyak orang, main sama banyak orang.
